sentence_idx,word,pos,tag
1,Cho,V,O
1,mình,P,O
1,tên,N,O
1,bài,N,O
1,hát,V,O
1,chủ đề,V,O
1,giải,V,B-M
1,trí,V,I-M
1,của,E,O
1,hà,Np,B-A
1,anh,Np,I-A
1,tuấn,Np,I-A
2,Bạn,N,O
2,ơi,I,O
2,cho,E,O
2,mình,P,O
2,vài,L,O
2,bài,N,O
2,trầm,M,B-M
2,cảm,M,I-M
2,của,E,O
2,tlinh,Np,B-A
2,đi,V,O
3,nói,V,O
3,tôi,P,O
3,nghe,V,O
3,1,M,O
3,bài,N,O
3,giải,V,B-M
3,trí,V,I-M
3,của,E,O
3,justatee,Np,B-A
3,nào,P,O
4,Mở,V,O
4,mình,P,O
4,1,M,O
4,bài,N,O
4,CPOP,Np,B-G
4,thú,M,B-M
4,vị,M,I-M
4,đi,V,O
4,nào,P,O
5,Dm,Np,O
5,cho,E,O
5,bố,N,O
5,m,N,O
5,1,M,O
5,bài,N,O
5,của,E,O
5,kim,Np,B-A
5,chi,Np,I-A
5,sun,Np,I-A
6,Bot,Np,O
6,ơi,I,O
6,xin,V,O
6,bài,N,O
6,c-pop,M,B-G
6,đau,A,B-M
6,khổ,A,I-M
7,Cho,V,O
7,tôi,P,O
7,môt,V,O
7,bài,N,O
7,của,E,O
7,minh,Np,B-A
7,vương,Np,I-A
7,m4u,Np,I-A
8,tiếng,N,B-G
8,yêu,V,B-M
8,thì,C,O
8,có,V,O
8,bài,N,O
8,nào,P,O
8,hay,C,O
9,bài,N,O
9,của,E,O
9,mạnh,Np,B-A
9,quỳnh,Np,I-A
9,có,V,O
9,bài,N,O
9,nào,T,O
9,hay,C,O
9,vậy,P,O
10,cho,E,O
10,tôi,P,O
10,biết,V,O
10,một số,L,O
10,bài,N,O
10,ủ,M,B-M
10,rũ,M,I-M
10,của,E,O
10,amee,Np,B-A
10,nổi tiếng,A,O
11,KPop,Np,B-G
11,vui,A,B-M
11,thì,C,O
11,có,V,O
11,bài,N,O
11,nào,P,O
11,hay,C,O
12,Tâm trạng,N,O
12,sầu,M,B-M
12,muộn,M,I-M
12,có,V,O
12,bài,N,O
12,Us-Uk,Np,B-G
12,nào,P,O
12,nghe,V,O
12,hay,C,O
12,không,R,O
12,bot,V,O
13,Cho,V,O
13,tui,P,O
13,bài,N,O
13,rap,M,B-G
13,thú,M,B-M
13,vị,M,I-M
13,đi,V,O
14,Danh sách,N,O
14,các,L,O
14,bài,N,O
14,hát,V,O
14,thuộc,V,O
14,thể loại,N,O
14,edm,M,B-G
15,xin,V,O
15,bài,N,O
15,của,E,O
15,wendy,Np,B-A
15,thảo,Np,I-A
15,nghe,V,O
15,coi,V,O
16,Bạn,N,O
16,ơi,I,O
16,cho,E,O
16,mình,P,O
16,vài,L,O
16,bài,N,O
16,Chill,Np,B-G
16,chán,M,B-M
16,nản,M,I-M
16,đi,V,O
17,chỉ,R,O
17,tớ,V,O
17,một,M,O
17,bài,N,O
17,k-pop,M,B-G
18,sư phụ,N,O
18,",",CH,O
18,cho,V,O
18,đệ tử,V,O
18,xin,V,O
18,một số,L,O
18,bài,N,O
18,hát,V,O
18,do,E,O
18,lil,Np,B-A
18,zpoet,Np,I-A
18,trình bày,V,O
18,đi,V,O
18,sư phụ,M,O
19,một số,L,O
19,bài,N,O
19,hát,V,O
19,thú vị,A,O
19,của,E,O
19,minh,Np,B-A
19,thư,Np,I-A
20,onii,N,O
20,chan,V,O
20,",",CH,O
20,cho,E,O
20,em,N,O
20,bài,N,O
20,ảm,N,B-M
20,của,E,O
20,khởi,Np,B-A
20,my,Np,I-A
20,đi,V,O
20,onii,M,O
21,Ê,Np,O
21,chỉ,R,O
21,tôi,P,O
21,bài,N,O
21,vui,A,B-M
21,vẻ,A,I-M
21,của,E,O
21,kai,Np,B-A
21,đinh,Np,I-A
21,hợp lý,A,O
21,coi,V,O
22,Cho,V,O
22,tôi,P,O
22,môt,V,O
22,bài,N,O
22,của,E,O
22,trường,Np,B-A
22,vũ,Np,I-A
23,Chỉ,R,O
23,mình,P,O
23,vài,L,O
23,bài,N,O
23,HIPHOP,Np,B-G
23,sầu,M,B-M
23,muộn,M,I-M
23,nào,P,O
24,Gợi ý,V,O
24,t,N,O
24,1,M,O
24,bài,N,O
24,hát,V,O
24,hay,A,O
24,của,E,O
24,hoàng,Np,B-A
24,oanh,Np,I-A
25,Tâm trạng,N,O
25,chán,M,B-M
25,nản,M,I-M
25,có,V,O
25,bài,N,O
25,nào,P,O
25,của,E,O
25,duckie,Np,B-A
25,nghe,V,O
25,hay,C,O
25,không,R,O
25,bot,V,O
26,Cho,V,O
26,tôi,P,O
26,biết,V,O
26,một số,L,O
26,bài,N,O
26,nhạc,N,B-G
26,chán,M,B-M
26,nản,M,I-M
26,nổi tiếng,A,O
27,Có,V,O
27,bài,N,O
27,KPOP,Np,B-G
27,sôi,M,B-M
27,động,M,I-M
27,nào,P,O
27,hay,C,O
27,hay,C,O
27,không,R,O
28,Cho,V,O
28,tôi,P,O
28,một,M,O
28,bài,N,O
28,EDM,Np,B-G
28,ảm,N,B-M
29,Một số,L,O
29,bài,N,O
29,hát,V,O
29,chán,M,B-M
29,nản,M,I-M
29,của,E,O
29,anh,Np,B-A
29,khang,Np,I-A
30,Này,P,O
30,",",CH,O
30,cho,E,O
30,tui,P,O
30,bài,N,O
30,nào,P,O
30,vui,M,B-M
30,nhộn,M,I-M
30,mà,C,O
30,GENRE ],V,O
30,với,E,O
31,nè,T,O
31,bot,N,O
31,",",CH,O
31,cho,E,O
31,bài,N,O
31,hạnh,N,B-M
31,phúc,N,I-M
31,nghe,V,O
32,Một số,L,O
32,bài,N,O
32,K-POP,Np,B-G
32,hưng,M,B-M
32,phấn,M,I-M
32,đi,V,O
32,bot,V,O
32,ngu,M,O
33,Nói,V,O
33,tôi,P,O
33,nghe,V,O
33,1,M,O
33,bài,N,O
33,giải,V,B-M
33,trí,V,I-M
33,của,E,O
33,vũ,Np,B-A
33,duy,Np,I-A
33,nào,P,O
34,Chỉ,R,O
34,tao,P,O
34,mấy,L,O
34,bài,N,O
34,của,E,O
34,võ,Np,B-A
34,ê,Np,I-A
34,vo,Np,I-A
34,đi,V,O
34,bot,M,O
35,cho,E,O
35,tôi,P,O
35,bài,N,O
35,ủ,M,B-M
35,rũ,M,I-M
35,của,E,O
