sentence_idx,word,pos,tag
1,đưa,V,O
1,cho,E,O
1,ttao,N,O
1,danh_sách,N,O
1,các,L,O
1,bài,N,O
1,ủ_rũ,M,B-M
1,của,E,O
1,huỳnh,N,B-A
1,thông,V,I-A
1,coi,V,O
2,Danh_sách,N,O
2,các,L,O
2,bài,N,O
2,hát,V,O
2,Cpop,Np,B-G
2,trầm_cảm,M,B-M
3,onii,N,O
3,chan,V,O
3,",",CH,O
3,cho,V,O
3,e,V,O
3,bài,N,O
3,hát,V,O
3,do,E,O
3,hương,N,B-A
3,giang,M,I-A
3,hát,V,O
3,đi,V,O
3,onii,M,O
4,Eg,N,O
4,về,E,O
4,chán_nản,M,B-M
4,song,C,O
4,of,V,O
4,Edm,Np,B-G
5,Tâm_trạng,N,O
5,thú_vị,M,B-M
5,có,V,O
5,bài,N,O
5,Hàn_Quốc,Np,B-G
5,nào,P,O
5,nghe,V,O
5,hay,C,O
5,không,R,O
5,bot,V,O
6,Một_số,L,O
6,bài,N,O
6,hát,V,O
6,buồn_buồn,M,B-M
7,mày,P,O
7,ơi,I,O
7,",",CH,O
7,cho,E,O
7,tao,P,O
7,vài,L,O
7,bài,N,O
7,do,E,O
7,vũ,N,B-A
7,phụng,V,I-A
7,tiên,N,I-A
7,biểu_diễn,V,O
7,nghe,V,O
7,với,E,O
7,coi,V,O
8,Dcm,Np,O
8,cho,E,O
8,tao,P,O
8,bài,N,O
8,KPOP,Np,B-G
8,tuyệt_vọng,V,B-M
8,nghe,V,O
8,coi,V,O
9,Mày,P,O
9,ơi,I,O
9,",",CH,O
9,cho,E,O
9,tao,P,O
9,vài,L,O
9,bài,N,O
9,do,E,O
9,winner,M,B-A
9,biểu_diễn,V,O
9,nghe,V,O
9,với,E,O
9,coi,V,O
10,Đưa,V,O
10,cho,E,O
10,t,N,O
10,danh_sách,N,O
10,các,L,O
10,bài,N,O
10,các,L,O
10,bài,N,O
10,hát,V,O
10,của,E,O
10,hồ,N,B-A
10,quỳnh,V,I-A
10,hương,N,I-A
10,coi,V,O
11,một_số,L,O
11,bài,N,O
11,hát,V,O
11,thú_vị,A,O
11,của,E,O
11,jack,M,B-A
12,Hãy,R,O
12,cho,V,O
12,em,N,O
12,một_số,L,O
12,bài,N,O
12,hát,V,O
12,hay,C,O
12,hay,C,O
12,hợp,V,O
12,với,E,O
12,tâm_trạng,N,O
12,buồn,A,B-M
12,của,E,O
12,lil,N,B-A
12,shady,M,I-A
12,đi,V,O
12,ạ,T,O
13,này,P,O
13,",",CH,O
13,đưa,V,O
13,1,M,O
13,bài,N,O
13,vui_nhộn,M,B-M
13,của,E,O
13,ngọc,N,B-A
13,linh,M,I-A
13,xem,V,O
13,nào,P,O
14,thú_vị,M,B-M
14,thì,C,O
14,lương,N,B-A
14,minh,M,I-A
14,trang,N,I-A
14,có,V,O
14,bài,N,O
14,nào,P,O
14,hay,C,O
15,Này,P,O
15,",",CH,O
15,cho,E,O
15,tui,P,O
15,bài,N,O
15,của,E,O
15,bức,Nc,B-A
15,tường,N,I-A
15,với,E,O
16,Chỉ,R,O
16,mình,P,O
16,vài,L,O
16,bài,N,O
16,Âu,N,B-G
16,mỹ,M,I-G
16,buồn_rầu,M,B-M
16,nào,P,O
17,có,V,O
17,bài,N,O
17,nào,P,O
17,của,E,O
17,phạm,N,B-A
17,hồng,N,I-A
17,phước,M,I-A
17,hay,C,O
17,hay,C,O
17,không,R,O
18,Ê,Np,O
18,hãy,R,O
18,cho,V,O
18,tôi,P,O
18,vài,L,O
18,bài,N,O
18,nhạc,N,B-G
18,Việt Nam,Np,I-G
18,hạnh_phúc,N,B-M
18,đi,V,O
19,Này,P,O
19,",",CH,O
19,cho,E,O
19,tui,P,O
19,bài,N,O
19,nào,P,O
19,sầu,M,B-M
19,mà,C,O
19,GENRE_],V,O
19,với,E,O
20,Hãy,R,O
20,cho,V,O
20,em,N,O
20,một_số,L,O
20,bài,N,O
20,hát,V,O
20,k-pop,M,B-G
20,hay,C,O
20,hay,C,O
20,hợp,V,O
20,với,E,O
20,tâm_trạng,N,O
20,tuyệt_vọng,V,B-M
20,đi,V,O
20,ạ,T,O
21,Một_số,L,O
21,bài,N,O
21,về,E,O
21,nhạc,N,B-G
21,Âu,Np,I-G
21,Mỹ,Np,I-G
22,Sư_phụ,N,O
22,",",CH,O
22,cho,V,O
22,đệ_tử,V,O
22,xin,V,O
22,một_số,L,O
22,bài,N,O
22,hát,V,O
22,chill,M,B-G
22,vui,A,B-M
22,vui,A,I-M
22,đi,V,O
22,sư_phụ,M,O
23,Hãy,R,O
23,ví_dụ,V,O
23,một,M,O
23,bài,N,O
23,của,E,O
23,nguyễn_hoàng,N,B-A
23,nam,N,I-A
24,Xin,V,O
24,bài,N,O
24,sầu,M,B-M
24,của,E,O
24,như,C,B-A
24,việt,M,I-A
24,nghe,V,O
24,coi,V,O
25,Tui,P,O
25,đang,R,O
25,cảm_thấy,V,O
25,vui_tươi,M,B-M
25,quá,R,O
25,bot,A,O
25,ơi,T,O
26,Onii,Np,O
26,chan,V,O
26,",",CH,O
26,cho,V,O
26,e,V,O
26,bài,N,O
26,nhạc,N,B-G
26,hàn,V,I-G
26,đi,V,O
26,onii,M,O
27,Dcm,Np,O
27,cho,E,O
27,tao,P,O
27,bài,N,O
27,Trung,Np,B-G
27,quốc,M,I-G
27,sôi_động,M,B-M
27,nghe,V,O
27,coi,V,O
28,Tên,N,O
28,1,M,O
28,bài,N,O
28,thuộc,V,O
28,thể_loại,N,O
28,Us-uk,Np,B-G
29,cho,E,O
29,tôi,P,O
29,biết,V,O
29,một_số,L,O
29,bài,N,O
29,sầu_muộn,M,B-M
29,của,E,O
29,như,C,B-A
29,việt,M,I-A
29,nổi_tiếng,A,O
30,Xin,V,O
30,bài,N,O
30,chán_nản,M,B-M
30,của,E,O
30,emcee,N,B-A
30,l,N,I-A
30,(,CH,I-A
30,da,N,I-A
30,lab,A,I-A
30,),CH,I-A
30,nghe,V,O
30,coi,V,O
31,Danh_sách,N,O
31,các,L,O
31,bài,N,O
31,hát,V,O
31,EDM,Np,B-G
31,vui_nhộn,M,B-M
32,Bài,N,O
32,nào,P,O
32,Dance,Np,B-G
32,sầu,M,B-M
32,hay,C,O
32,vậy,P,O
33,sủa,V,O
33,vài,L,O
33,bài,N,O
33,của,E,O
33,donna,N,B-A
33,summer,M,I-A
34,cho,E,O
34,tôi,P,O
34,môt,V,O
34,bài,N,O
34,của,E,O
34,lương,N,B-A
34,gia_huy,M,I-A
35,Có,V,O
35,bài,N,O
35,ballad,M,B-G
35,trầm_cảm,M,B-M
35,nào,P,O
35,hay,C,O
35,hay,C,O
35,không,R,O
36,Chỉ,R,O
36,mình,P,O
36,vài,L,O
36,bài,N,O
36,rock,M,B-G
36,buồn_rầu,M,B-M
36,nào,P,O
37,thể_loại,N,O
37,ROCK,Np,B-G
37,có,V,O
37,bài,N,O
37,nào,T,O
37,hay,C,O
37,vậy,P,O
37,bot,M,O
38,Onii,Np,O
38,chan,V,O
38,",",CH,O
38,cho,V,O
38,e,V,O
38,bài,N,O
38,hát,V,O
38,do,E,O
38,ty,N,B-A
38,an,N,I-A
38,bảo,V,I-A
38,hát,V,O
38,đi,V,O
38,onii,M,O
39,Bài,N,O
39,sôi_động,M,B-M
39,của,E,O
39,jun,N,B-A
39,phạm,M,I-A
39,đi,V,O
39,bot,M,O
40,Cho,V,O
40,tui,P,O
40,bài,N,O
40,nào,P,O
40,đau_khổ,A,B-M
40,của,E,O
40,lân,N,B-A
40,nhã,M,I-A
40,đi,V,O
41,hãy,R,O
41,ví_dụ,V,O
41,một_số,L,O
41,bài,N,O
41,hát,V,O
41,của,E,O
41,ngô,N,B-A
41,lan,V,I-A
41,hương,N,I-A
41,đi,V,O
42,Bot,Np,O
42,ơi,I,O
42,xin,V,O
42,bài,N,O
42,của,E,O
42,mr,N,B-A
42,.,CH,I-A
42,a,M,I-A
43,Tâm_trạng,N,O
43,trầm_cảm,M,B-M
43,có,V,O
43,bài,N,O
43,cpop,M,B-G
43,nào,P,O
43,nghe,V,O
43,hay,C,O
43,không,R,O
43,bot,V,O
44,Cho,E,O
44,bố,N,O
44,mày,P,O
44,ví_dụ,V,O
44,bài,N,O
44,trầm_cảm,M,B-M
44,của,E,O
44,1,M,B-A
44,ng,N,I-A
44,đi,V,O
44,mày,P,O
45,Hãy,R,O
45,cho,V,O
45,em,N,O
45,một_số,L,O
45,bài,N,O
45,hát,V,O
45,Ballad,Np,B-G
45,hay,C,O
45,hay,C,O
45,hợp,V,O
45,với,E,O
45,tâm_trạng,N,O
45,trầm_cảm,M,B-M
45,đi,V,O
45,ạ,T,O
46,Bạn,N,O
46,ơi,I,O
46,mở,V,O
46,cho,E,O
46,mình,P,O
46,bài,N,O
46,chán_nản,M,B-M
46,của,E,O
46,bảo,V,B-A
46,anh,Nc,I-A
46,nghe,V,O
46,với,E,O
47,1,M,O
47,bài,N,O
47,hưng_phấn,M,B-M
47,của,E,O
47,hạ,V,B-A
47,vy,M,I-A
47,đi,V,O
47,nào,P,O
48,Ví_dụ,N,O
48,vài,L,O
48,bài,N,O
48,của,E,O
48,trọng,N,B-A
48,hiếu,M,I-A
48,nghe,V,O
48,đi,V,O
48,em,N,O
49,sư_phụ,N,O
49,",",CH,O
49,cho,V,O
49,đệ_tử,V,O
49,xin,V,O
49,một_số,L,O
49,bài,N,O
49,hát,V,O
49,vui_nhộn,M,B-M
49,của,E,O
49,nhâm,N,B-A
49,phương,N,I-A
49,nam,N,I-A
49,đi,V,O
49,sư_phụ,M,O
50,Bot,Np,O
50,ơi,I,O
50,gợi_ý,V,O
50,nhạc,N,O
50,yêu,V,B-M
50,đời,N,I-M
50,thể_loại,V,O
50,CHILL,Np,B-G
50,cho,E,O
50,mình,P,O
50,đi,V,O
51,nói,V,O
51,tôi,P,O
51,nghe,V,O
51,1,M,O
51,bài,N,O
51,chán_nản,M,B-M
51,của,E,O
51,ty,N,B-A
51,an,N,I-A
51,bảo,V,I-A
51,nào,P,O
52,Bạn,N,O
52,ơi,I,O
52,cho,E,O
52,mình,P,O
52,vài,L,O
52,bài,N,O
52,Hiphop,Np,B-G
52,sầu,M,B-M
52,đi,V,O
53,Mày,P,O
53,ơi,I,O
53,",",CH,O
53,cho,E,O
53,tao,P,O
53,vài,L,O
