sentence_idx,word,pos,tag
1,Cho,V,O
1,tui,P,O
1,bài,N,O
1,của,E,O
1,La,Np,B-A
1,Thăng,Np,I-A
1,đi,V,O
1,.,CH,O
2,Có,V,O
2,bài,N,O
2,nào,P,O
2,của,E,O
2,La,Np,B-A
2,Thăng,Np,I-A
2,hay,C,O
2,hay,C,O
2,không,R,O
2,?,CH,O
2,Bạn,N,O
2,ơi,I,O
2,cho,E,O
2,mình,P,O
2,vài,L,O
2,bài,N,O
2,của,E,O
2,La,Np,B-A
2,Thăng,Np,I-A
2,đi,V,O
2,.,CH,O
3,Bot,Np,O
3,ơi,I,O
3,gợi ý,V,O
3,nhạc,N,O
3,La,Np,B-A
3,Thăng,Np,I-A
3,cho,E,O
3,mình,P,O
3,đi,V,O
3,.,CH,O
4,Bot,Np,O
4,ơi,I,O
4,xin,V,O
4,bài,N,O
4,của,E,O
4,La,Np,B-A
4,Thăng,Np,I-A
4,.,CH,O
5,ê,N,O
5,bot,V,O
5,cho,E,O
5,bài,N,O
5,của,E,O
5,La,Np,B-A
5,Thăng,Np,I-A
5,hay,C,O
5,coi,V,O
5,.,CH,O
6,cho,E,O
6,t,N,O
6,bài,N,O
6,của,E,O
6,La,Np,B-A
6,Thăng,Np,I-A
6,nghe,V,O
6,coi,V,O
6,. Bài,N,O
6,của,E,O
6,La,Np,B-A
6,Thăng,Np,I-A
6,có,V,O
6,bài,N,O
6,nào,P,O
6,hay,C,O
6,z,V,O
6,.,CH,O
7,xin,V,O
7,bài,N,O
7,của,E,O
7,La,Np,B-A
7,Thăng,Np,I-A
7,nghe,V,O
7,coi,V,O
7,.,CH,O
8,Cho,V,O
8,tui,P,O
8,bài,N,O
8,hát,V,O
8,của,E,O
8,La,Np,B-A
8,Thăng,Np,I-A
8,đỉnh cao,V,O
8,đi,V,O
8,.,CH,O
9,Cho,V,O
9,mình,P,O
9,hỏi,V,O
9,có,V,O
9,bài,N,O
9,nào,P,O
9,của,E,O
9,La,Np,B-A
9,Thăng,Np,I-A
9,hay,C,O
9,ko,V,O
9,?,CH,O
9,ê,N,O
9,chỉ,R,O
9,t,V,O
9,bài,N,O
9,hát,N,O
9,nào,P,O
9,của,E,O
9,La,Np,B-A
9,Thăng,Np,I-A
9,hợp lý,A,O
9,coi,V,O
9,.,CH,O
10,La,Np,B-A
10,Thăng,Np,I-A
10,có,V,O
10,bài,N,O
10,nào,P,O
10,hay,C,O
10,m,V,O
10,.,CH,O
11,La,Np,B-A
11,Thăng,Np,I-A
11,có,V,O
11,bài,N,O
11,nào,P,O
11,nghe,V,O
11,hay,C,O
11,ko,V,O
11,bot,N,O
11,.,CH,O
12,ví dụ,V,O
12,vài,L,O
12,bài,N,O
12,của,E,O
12,La,Np,B-A
12,Thăng,Np,I-A
12,nghe,V,O
12,đi,V,O
12,iem,V,O
12,.,CH,O
13,cho,E,O
13,bố,N,O
13,mày,P,O
13,ví dụ,V,O
13,vài,L,O
13,bài,N,O
13,của,E,O
13,La,Np,B-A
13,Thăng,Np,I-A
13,đi,V,O
13,m,V,O
13,.,CH,O
14,một số,L,O
14,bài,N,O
14,của,E,O
14,La,Np,B-A
14,Thăng,Np,I-A
14,.,CH,O
15,một,M,O
15,bài,N,O
15,hát,V,O
15,của,E,O
15,La,Np,B-A
15,Thăng,Np,I-A
15,.,CH,O
16,La,Np,B-A
16,Thăng,Np,I-A
16,đi,V,O
16,bot,V,O
16,.,CH,O
17,này,P,O
17,",",CH,O
17,cho,E,O
17,tui,P,O
17,bài,N,O
17,của,E,O
17,La,Np,B-A
17,Thăng,Np,I-A
17,với,E,O
17,.,CH,O
18,examples,V,O
18,về,E,O
18,nhạc,N,O
18,of,V,O
18,La,Np,B-A
18,Thăng,Np,I-A
18,.,CH,O
19,một số,L,O
19,bài,N,O
19,hát,V,O
19,thú vị,A,O
19,của,E,O
19,La,Np,B-A
19,Thăng,Np,I-A
19,.,CH,O
20,một số,L,O
20,bài,N,O
20,hát,V,O
20,thú vị,A,O
20,của,E,O
20,La,Np,B-A
20,Thăng,Np,I-A
20,.,CH,O
21,dí,V,O
21,dụ,V,O
21,vài,L,O
21,bài,N,O
21,của,E,O
21,La,Np,B-A
21,Thăng,Np,I-A
21,dí,V,O
21,dụ,V,O
21,vài,L,O
21,bài,N,O
21,của,E,O
21,La,Np,B-A
21,Thăng,Np,I-A
21,thú,N,O
21,dị,V,O
21,đi,V,O
21,bot,V,O
21,ui,N,O
21,.,CH,O
22,bot,N,O
22,ơi,I,O
22,cho,E,O
22,tui,P,O
22,mấy,L,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,nghe,V,O
22,coi,V,O
22,give,N,O
22,me,V,O
22,an,N,O
22,example,V,O
22,song,C,O
22,of,V,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,cho,E,O
22,toi,N,O
22,mot,V,O
22,bai,N,O
22,cua,V,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,e,V,O
22,hay,C,O
22,cho,V,O
22,toi,V,O
22,vai,N,O
22,bai,N,O
22,cua,V,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,di chỉ,V,O
22,t,V,O
22,mấy,L,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,đi,V,O
22,bot,V,O
22,hmmm,N,O
22,",",CH,O
22,cho,E,O
22,mình,P,O
22,1,M,O
22,bài,N,O
22,của,E,O
22,ca sĩ,N,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,đi,V,O
22,bot,V,O
22,bạn,N,O
22,ei,V,O
22,",",CH,O
22,cho,E,O
22,mình,P,O
22,nghe,V,O
22,1,M,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,đi,V,O
22,bạn,N,O
22,hãy,R,O
22,cho,V,O
22,em,N,O
22,một số,L,O
22,bài,N,O
22,hát,V,O
22,hay,C,O
22,hay,C,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,đi,V,O
22,ạ,T,O
22,sư phụ,N,O
22,",",CH,O
22,cho,V,O
22,đệ tử,V,O
22,xin,V,O
22,một số,L,O
22,bài,N,O
22,hát,V,O
22,do,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,trình bày,V,O
22,đi,V,O
22,sư phụ,V,O
22,onii,N,O
22,chan,V,O
22,",",CH,O
22,cho,V,O
22,e,V,O
22,bài,N,O
22,hát,V,O
22,do,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,hát,V,O
22,đi,V,O
22,onii,V,O
22,mày,P,O
22,ơi,T,O
22,",",CH,O
22,cho,E,O
22,tao,P,O
22,vài,L,O
22,bài,N,O
22,do,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,biểu diễn,V,O
22,nghe,V,O
22,với,E,O
22,coi,V,O
22,dcm,A,O
22,cho,E,O
22,t,V,O
22,mấy,L,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,nghe,V,O
22,coi,V,O
22,đưa,V,O
22,cho,E,O
22,t,N,O
22,danh sách,N,O
22,các,L,O
22,bài,N,O
22,các,L,O
22,bài,N,O
22,hát,V,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,coi,V,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,có,V,O
22,bài,N,O
22,nào,P,O
22,hay,C,O
22,hãy,R,O
22,cho,V,O
22,tui,P,O
22,một,M,O
22,bài,N,O
22,hát,V,O
22,siu,N,O
22,hay,C,O
22,của,E,O
22,ca sĩ,N,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,xem,V,O
22,nào,P,O
22,này,P,O
22,",",CH,O
22,đưa,V,O
22,1,M,O
22,bài,N,O
22,của,E,O
22,ca sĩ,N,O
22,xem,V,O
22,nào,P,O
22,nhóm,N,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,có,V,O
22,bài,N,O
22,nào,P,O
22,nghe,V,O
22,ổn,A,O
22,ko,N,O
22,nè,T,O
22,bot,N,O
22,",",CH,O
22,cho,E,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,nghe,V,O
22,sủa,V,O
22,vài,L,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,tên,N,O
22,1,M,O
22,bài,N,O
22,hát,V,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,danh sách,N,O
22,các,L,O
22,bài,N,O
22,hát,V,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,La,Np,B-A
22,Thăng,Np,I-A
22,hát,V,O
22,những,L,O
22,bài,N,O
22,nào,P,O
22,ê ê,V,O
22,cho,E,O
22,t,N,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,đi,V,O
22,hãy,R,O
22,ví dụ,V,O
22,một,M,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,hãy,R,O
22,ví dụ,V,O
22,một số,L,O
22,bài,N,O
22,hát,V,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,đi,V,O
22,liệt kê,V,O
22,các,L,O
22,bài,N,O
22,hát,V,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,cho,E,O
22,t,N,O
22,xem,V,O
22,gợi ý,N,O
22,t,V,O
22,một số,L,O
22,bài,N,O
22,hát,V,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,gợi ý,V,O
22,t,N,O
22,1,M,O
22,bài,N,O
22,hát,V,O
22,hay,A,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
22,dm,V,O
22,cho,E,O
22,bố,N,O
22,m,N,O
22,1,M,O
22,bài,N,O
22,của,E,O
22,La,Np,B-A
22,Thăng,Np,I-A
